ZORTÉA,CELSO RAMOS,62
ZORTÉA,CAMPOS NOVOS,49 
CELSO RAMOS,ANITA GARIBALDI,26 
CELSO RAMOS,CAMPOS NOVOS,34 
ANITA GARIBALDI,CAMPOS NOVOS,61 
ANITA GARIBALDI,ABDON BATISTA,22 
ANITA GARIBALDI,CERRO NEGRO,22 
CAMPOS NOVOS,ABDON BATISTA,54 
CAMPOS NOVOS,VARGEM,33 
CAMPOS NOVOS,BRUNÓPOLIS,44 
CAMPOS NOVOS,MONTE CARLOS,44 
ABDON BATISTA,VARGEM,25 
ABDON BATISTA,SÃO JOSÉ DO CERRITO,72 
ABDON BATISTA,CERRO NEGRO,33 
VARGEM,BRUNÓPOLIS,45 
VARGEM,SÃO JOSÉ DO CERRITO,53 
BRUNÓPOLIS,FREI ROGÉRIO,24 
BRUNÓPOLIS,CURITIBANOS,32 
BRUNÓPOLIS,SÃO JOSÉ DO CERRITO,78 
MONTE CARLOS,FREI ROGÉRIO,38 
FREI ROGÉRIO,CURITIBANOS,32
CURITIBANOS,OTACÍLIA COSTA,75 
CURITIBANOS,PONTE ALTA DO NORTE,36 
CURITIBANOS,SÃO CRISTÓVÃO DO SUL,22 
CURITIBANOS,PONTE ALTA,40 
CURITIBANOS,CORREIA PINTO,53 
CURITIBANOS,SÃO JOSÉ DO CERRITO,50 
SANTA CECÍLIA,PONTE ALTA DO NORTE,23 
PONTE ALTA DO NORTE,SÃO CRISTÓVÃO DO SUL,14 
SÃO CRISTÓVÃO DO SUL,PONTE ALTA,28 
PONTE ALTA,CORREIA PINTO,13 
PONTE ALTA,PALMEIRA,24 
PONTE ALTA,OTACÍLIA COSTA,81 
CORREIA PINTO,SÃO JOSÉ DO CERRITO,59 
CORREIA PINTO,LAGES,32 
CORREIA PINTO,PALMEIRA,61 
SÃO JOSÉ DO CERRITO,CERRO NEGRO,51 
SÃO JOSÉ DO CERRITO,CERRO NEGRO,51 
SÃO JOSÉ DO CERRITO,CAMPO BELO DO SUL,88 
SÃO JOSÉ DO CERRITO,LAGES,40 
CERRO NEGRO,CAMPO BELO DO SUL,88 
CAMPO BELO DO SUL,CAPÃO ALTO,28 
CAMPO BELO DO SUL,LAGES,55 
CAPÃO ALTO,LAGES,27 
LAGES,PALMEIRA,30 
LAGES,OTACÍLIA COSTA,49 
LAGES,BOCAINA DO SUL,42 
LAGES,SÃO JOAQUIM,80 
PALMEIRA,OTACÍLIA COSTA,12 
OTACÍLIA COSTA,BOCAINA DO SUL,62 
OTACÍLIA COSTA,BOM RETIRO,145 
BOCAINA DO SUL,PAINEL,58 
BOCAINA DO SUL,RIO RUFINO,30 
BOCAINA DO SUL,BOM RETIRO,54 
PAINEL,URUPEMA,23 
PAINEL,SÃO JOAQUIM,44 
PAINEL,RIO RUFINO,33 
URUPEMA,SÃO JOAQUIM,57 
URUPEMA,RIO RUFINO,19 
SÃO JOAQUIM,BOM JARDIM DA SERRA,43 
SÃO JOAQUIM,URUBICI,59 
SÃO JOAQUIM,RIO RUFINO,76 
BOM JARDIM DA SERRA,URUBICI,72 
URUBICI,RIO RUFINO,33 
RIO RUFINO,BOM RETIRO,54 